"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"< 1 year"	"1"	"Salmonella septicaemia"	"A02.1"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Enterocolitis due to Clostridium difficile"	"A04.7"	17	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Rotaviral enteritis"	"A08.0"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Viral intestinal infection, unspecified"	"A08.4"	24	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	1088	42477103	2.6	2.4	2.7	0.1	0.0%
	"< 1 year"	"1"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	56	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Whooping cough due to Bordetella pertussis"	"A37.0"	24	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Whooping cough, unspecified"	"A37.9"	111	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Meningococcal meningitis"	"A39.0"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Waterhouse-Friderichsen syndrome"	"A39.1"	21	42477103	0.0	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Meningococcaemia, unspecified"	"A39.4"	52	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to streptococcus, group B"	"A40.1"	110	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to streptococcus, group D"	"A40.2"	19	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	44	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Streptococcal septicaemia, unspecified"	"A40.9"	41	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	77	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	26	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to Haemophilus influenzae"	"A41.3"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	269	42477103	0.6	0.6	0.7	0.0	0.0%
	"< 1 year"	"1"	"Other specified septicaemia"	"A41.8"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Septicaemia, unspecified"	"A41.9"	1553	42477103	3.7	3.5	3.8	0.1	0.0%
	"< 1 year"	"1"	"Staphylococcal infection, unspecified"	"A49.0"	37	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Streptococcal infection, unspecified"	"A49.1"	28	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other bacterial infections of unspecified site"	"A49.8"	34	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Bacterial infection, unspecified"	"A49.9"	40	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Congenital syphilis, unspecified"	"A50.9"	25	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Unspecified viral encephalitis"	"A86"	28	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Viral meningitis, unspecified"	"A87.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Herpesviral encephalitis"	"B00.4"	30	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disseminated herpesviral disease"	"B00.7"	33	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Herpesviral infection, unspecified"	"B00.9"	84	42477103	0.2	0.2	0.2	0.0	0.0%
	"< 1 year"	"1"	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Cytomegaloviral pneumonitis"	"B25.0"	34	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other cytomegaloviral diseases"	"B25.8"	16	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cytomegaloviral disease, unspecified"	"B25.9"	55	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Gammaherpesviral mononucleosis"	"B27.0"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Viral carditis"	"B33.2"	32	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Adenovirus infection, unspecified"	"B34.0"	43	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Enterovirus infection, unspecified"	"B34.1"	43	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Coronavirus infection, unspecified"	"B34.2"	16	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other viral infections of unspecified site"	"B34.8"	362	42477103	0.9	0.8	0.9	0.0	0.0%
	"< 1 year"	"1"	"Viral infection, unspecified"	"B34.9"	243	42477103	0.6	0.5	0.6	0.0	0.0%
	"< 1 year"	"1"	"Candidal septicaemia"	"B37.7"	77	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Unspecified mycosis"	"B49"	96	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Pneumocystosis"	"B59"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other and unspecified infectious diseases"	"B99"	32	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Hepatoblastoma - Malignant neoplasms"	"C22.2"	25	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	30	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	22	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cerebellum - Malignant neoplasms"	"C71.6"	17	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	107	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	50	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Malignant neoplasm without specification of site"	"C80"	51	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	81	42477103	0.2	0.2	0.2	0.0	0.0%
	"< 1 year"	"1"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	74	42477103	0.2	0.1	0.2	0.0	0.0%
