"Notes"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Deaths"	"Population"	"Crude Rate"	"Crude Rate Lower 95% Confidence Interval"	"Crude Rate Upper 95% Confidence Interval"	"Crude Rate Standard Error"	"% of Total Deaths"
	"Salmonella enteritis"	"A02.0"	"55-59 years"	"55-59"	13	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella enteritis"	"A02.0"	"60-64 years "	"60-64"	10	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella enteritis"	"A02.0"	"65-69 years"	"65-69"	11	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella enteritis"	"A02.0"	"70-74 years"	"70-74"	15	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella enteritis"	"A02.0"	"75-79 years"	"75-79"	20	75129413	0.0	0.0	0.0	0.0	0.0%
	"Salmonella enteritis"	"A02.0"	"80-84 years"	"80-84"	17	49947616	Unreliable	0.0	0.1	0.0	0.0%
	"Salmonella enteritis"	"A02.0"	"85-89 years"	"85-89"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Salmonella septicaemia"	"A02.1"	"< 1 year"	"1"	10	44436653	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"50-54 years"	"50-54"	17	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"55-59 years"	"55-59"	18	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"60-64 years "	"60-64"	24	168055475	0.0	0.0	0.0	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"65-69 years"	"65-69"	24	133793292	0.0	0.0	0.0	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"70-74 years"	"70-74"	39	102736281	0.0	0.0	0.1	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"75-79 years"	"75-79"	39	75129413	0.1	0.0	0.1	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"80-84 years"	"80-84"	28	49947616	0.1	0.0	0.1	0.0	0.0%
	"Salmonella septicaemia"	"A02.1"	"85-89 years"	"85-89"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Salmonella septicaemia"	"A02.1"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"< 1 year"	"1"	34	44436653	0.1	0.1	0.1	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"1-4 years"	"1-4"	23	178140207	0.0	0.0	0.0	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"5-9 years"	"5-9"	10	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"15-19 years"	"15-19"	16	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"20-24 years"	"20-24"	36	239951389	0.0	0.0	0.0	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"25-29 years"	"25-29"	45	234285878	0.0	0.0	0.0	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"30-34 years"	"30-34"	91	229872405	0.0	0.0	0.0	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"35-39 years"	"35-39"	120	230611430	0.1	0.0	0.1	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"40-44 years"	"40-44"	233	232968123	0.1	0.1	0.1	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"45-49 years"	"45-49"	408	232932105	0.2	0.2	0.2	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"50-54 years"	"50-54"	857	223575070	0.4	0.4	0.4	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"55-59 years"	"55-59"	1587	201411886	0.8	0.7	0.8	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"60-64 years "	"60-64"	2368	168055475	1.4	1.4	1.5	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"65-69 years"	"65-69"	3573	133793292	2.7	2.6	2.8	0.0	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"70-74 years"	"70-74"	4992	102736281	4.9	4.7	5.0	0.1	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"75-79 years"	"75-79"	7242	75129413	9.6	9.4	9.9	0.1	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"80-84 years"	"80-84"	9096	49947616	18.2	17.8	18.6	0.2	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"85-89 years"	"85-89"	8872	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"90-94 years"	"90-94"	4981	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"95-99 years"	"95-99"	1351	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"100+ years"	"100+"	134	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"50-54 years"	"50-54"	10	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"55-59 years"	"55-59"	19	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"60-64 years "	"60-64"	29	168055475	0.0	0.0	0.0	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"65-69 years"	"65-69"	35	133793292	0.0	0.0	0.0	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"70-74 years"	"70-74"	63	102736281	0.1	0.0	0.1	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"75-79 years"	"75-79"	95	75129413	0.1	0.1	0.2	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"80-84 years"	"80-84"	111	49947616	0.2	0.2	0.3	0.0	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"85-89 years"	"85-89"	122	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"90-94 years"	"90-94"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other specified bacterial intestinal infections"	"A04.8"	"95-99 years"	"95-99"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"55-59 years"	"55-59"	10	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"60-64 years "	"60-64"	10	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"70-74 years"	"70-74"	12	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"75-79 years"	"75-79"	16	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"80-84 years"	"80-84"	25	49947616	0.1	0.0	0.1	0.0	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Bacterial intestinal infection, unspecified"	"A04.9"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Rotaviral enteritis"	"A08.0"	"< 1 year"	"1"	15	44436653	Unreliable	0.0	0.1	0.0	0.0%
	"Rotaviral enteritis"	"A08.0"	"1-4 years"	"1-4"	15	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"75-79 years"	"75-79"	15	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"80-84 years"	"80-84"	26	49947616	0.1	0.0	0.1	0.0	0.0%
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"85-89 years"	"85-89"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	"90-94 years"	"90-94"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"< 1 year"	"1"	49	44436653	0.1	0.1	0.1	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"1-4 years"	"1-4"	39	178140207	0.0	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"40-44 years"	"40-44"	15	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"45-49 years"	"45-49"	19	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"50-54 years"	"50-54"	35	223575070	0.0	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"55-59 years"	"55-59"	27	201411886	0.0	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"60-64 years "	"60-64"	33	168055475	0.0	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"65-69 years"	"65-69"	41	133793292	0.0	0.0	0.0	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"70-74 years"	"70-74"	47	102736281	0.0	0.0	0.1	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"75-79 years"	"75-79"	83	75129413	0.1	0.1	0.1	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"80-84 years"	"80-84"	126	49947616	0.3	0.2	0.3	0.0	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"85-89 years"	"85-89"	146	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"90-94 years"	"90-94"	122	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"95-99 years"	"95-99"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Viral intestinal infection, unspecified"	"A08.4"	"100+ years"	"100+"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"55-59 years"	"55-59"	16	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"60-64 years "	"60-64"	13	168055475	Unreliable	0.0	0.0	0.0	0.0%
