"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"#Salmonella infections (A01-A02)"	"GR113-001"	"< 1 year"	"1"	"Female"	"F"	25	42477103	0.1	0.0	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"< 1 year"	"1"	"Male"	"M"	22	44436653	0.0	0.0	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"40-44 years"	"40-44"	"Female"	"F"	10	236277503	Unreliable	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"45-49 years"	"45-49"	"Male"	"M"	14	232932105	Unreliable	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"50-54 years"	"50-54"	"Male"	"M"	31	223575070	0.0	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"55-59 years"	"55-59"	"Female"	"F"	24	213742200	0.0	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"55-59 years"	"55-59"	"Male"	"M"	33	201411886	0.0	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"60-64 years "	"60-64"	"Female"	"F"	12	183215286	Unreliable	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"60-64 years "	"60-64"	"Male"	"M"	41	168055475	0.0	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"65-69 years"	"65-69"	"Female"	"F"	42	151235357	0.0	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"65-69 years"	"65-69"	"Male"	"M"	40	133793292	0.0	0.0	0.0	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"70-74 years"	"70-74"	"Female"	"F"	38	122693411	0.0	0.0	0.0	0.0
